Standard,Khan Academy Exercise Name,Exercise Link,Video Link,Exercise Completion Time,Video Time (min),Estimated XP,Corresponding IXL Lesson from G8 Skill Plan,,Total time,10.2,hours
8.NS.A.1,Writing fractions as repeating decimals,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-repeating-decimals/e/writing-fractions-as-repeating-decimals,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-repeating-decimals/v/converting-a-fraction-to-a-repeating-decimal,7,5,12,Convert between repeating decimals and fractions,,Total XP,612,
8.NS.A.1,Converting repeating decimals to fractions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-repeating-decimals/e/converting_repeating_decimals_to_fractions_1,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-repeating-decimals/v/coverting-repeating-decimals-to-fractions-1,7,4,11,Convert between decimals and fractions or mixed numbers,,,,
8.NS.A.1,Converting multi-digit repeating decimals to fractions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-repeating-decimals/e/converting_repeating_decimals_to_fractions_2,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-repeating-decimals/v/coverting-repeating-decimals-to-fractions-2,4,9,13,,,,,
8.NS.A.1,Classify numbers: rational & irrational,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-irrational-numbers/e/recognizing-rational-and-irrational-numbers,"1 - https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:irrational-numbers/x2f8bb11595b61c86:irrational-numbers-intro/v/introduction-to-rational-and-irrational-numbers
2 - https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:irrational-numbers/x2f8bb11595b61c86:irrational-numbers-intro/v/recognizing-irrational-numbers",7,8,15,,,,,
8.NS.A.1,Classify numbers,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-irrational-numbers/e/identifying-whole--integer--and-rational-numbers,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-irrational-numbers/v/categorizing-numbers,7,9,16,Checkpoint: Classify real numbers,,,,
8.NS.A.2,Approximating square roots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-approximating-irrational-numbers/e/square_roots_2,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-approximating-irrational-numbers/v/approximating-square-roots-2,4,5,9,Estimate positive and negative square roots,,,,
8.NS.A.2,Comparing irrational numbers,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-approximating-irrational-numbers/e/approximating-irrational-numbers-without-a-calculator,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-approximating-irrational-numbers/v/sorting-irrational-numbers-involving-radicals,7,6,13,Irrational numbers on number lines,,,,
8.NS.A.2,Comparing irrational numbers with a calculator,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-approximating-irrational-numbers/e/approximating-irrational-numbers,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations/cc-8th-approximating-irrational-numbers/v/comparing-values-with-calculator,7,4,11,,,,,
8.F.A.1,Evaluate functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/8th-functions-and-function-notation/e/evaluate-functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/8th-functions-and-function-notation/v/what-is-a-function,4,8,12,,,,,
8.F.A.1,Evaluate functions from their graph,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/8th-functions-and-function-notation/e/evaluate-functions-from-graph,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/8th-functions-and-function-notation/v/understanding-function-notation-example-2,4,1,5,Find values using function graphs,,,,
8.F.A.1,Recognize functions from tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/cc-8th-function-intro/e/recognizing_functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/cc-8th-function-intro/v/recognizing-functions-example-3,4,2,6,Identify functions,,,,
8.F.A.1,Recognize functions from graphs,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/cc-8th-function-intro/e/recog-func-2,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/cc-8th-function-intro/v/graphical-relations-and-functions,4,4,8,Identify functions: graphs,,,,
8.F.A.2,Compare linear functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/compare-linear-fuctions/e/compare-linear-functions-8th,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/compare-linear-fuctions/v/comparing-features-of-functions-1,4,3,7,"Compare linear functions: tables, graphs, and equations",,,,
8.F.A.2,Comparing linear functions word problems,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/compare-linear-fuctions/e/comparing-features-of-functions-1,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/compare-linear-fuctions/v/comparing-features-of-functions-2,4,5,9,,,,,
